file,directory,document_index,rule_index,rule_id,logical_group,logical_class,operators,B1_no_metavariable,B2_metavariable_binding,B3_repeated_metavariable,B3_5_redundant_metavariable,B4_metavariable_regex,B5_metavariable_pattern,B6_metavariable_comparison_or_type,metavars,repeated_metavars,binding_scopes_json,pattern_count,has_no_metavar,has_plain_metavar,has_unnamed_ellipsis,has_ellipsis_metavar,has_deep_expression,has_no_pattern_fields,shape_groups,shape_labels
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/bash__code-execution.yaml,0xBugatti-SEMGREP10K,0,0,bidirectional-char,A3,Conjunction / Intersection,"category,confidence,id,languages,license,message,metadata,pattern-either,pattern-regex,patterns,references,severity,technology",True,False,False,False,False,False,False,,,[],9,True,False,False,False,False,False,C1,no_metavar
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/bash__other.yaml,0xBugatti-SEMGREP10K,0,0,line-length,A1,Only regex pattern(s),"id,languages,message,pattern-regex,severity",True,False,False,False,False,False,False,,,[],1,True,False,False,False,False,False,C1,no_metavar
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,0,flawfinder.RpcImpersonateClient-1.ImpersonateLoggedOnUser-1.CoImpersonateClient-1.ImpersonateNamedPipeClient-1.ImpersonateDdeClientWindow-1.ImpersonateSecurityContext-1.SetThreadToken-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,pattern-either,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],7,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,1,flawfinder.AddAccessAllowedAce-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,2,flawfinder.SetSecurityDescriptorDacl-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,3,flawfinder.fopen-1.open-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,pattern-either,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],2,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,4,flawfinder.access-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,5,flawfinder.chown-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,6,flawfinder.readlink-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/scrap/0xBugatti-SEMGREP10K/c__access-control.yaml,0xBugatti-SEMGREP10K,0,7,flawfinder.vfork-1,A2,Single or multiple positive pattern(s),"category,cwe,id,languages,message,metadata,name,owasp,pattern,primary_identifier,secondary_identifiers,security-severity,severity,shortDescription,type,value",True,False,False,False,False,False,False,,,[],1,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
