file,directory,document_index,rule_index,rule_id,logical_group,logical_class,operators,B1_no_metavariable,B2_metavariable_binding,B3_repeated_metavariable,B3_5_redundant_metavariable,B4_metavariable_regex,B5_metavariable_pattern,B6_metavariable_comparison_or_type,metavars,repeated_metavars,binding_scopes_json,pattern_count,has_no_metavar,has_plain_metavar,has_unnamed_ellipsis,has_ellipsis_metavar,has_deep_expression,has_no_pattern_fields,shape_groups,shape_labels
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__argv-envp-access.yaml,.,0,0,raptor-argv-envp-access,A3,Conjunction / Intersection,"author,confidence,id,languages,message,metadata,pattern,pattern-either,patterns,references,severity",True,False,False,False,False,False,False,,,[],2,True,False,False,False,False,False,C1,no_metavar
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__command-injection.yaml,.,0,0,raptor-command-injection,A4,Negation / Filtering,"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-not,patterns,references,severity",False,True,False,False,False,False,False,$FUN,,"[{""$FUN"": 1}, {""$FUN"": 1}]",3,True,True,True,False,False,False,"C1,C2,C3","no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__double-free.yaml,.,0,0,raptor-double-free,A4,Negation / Filtering,"author,confidence,focus-metavariable,id,languages,message,metadata,metavariable,metavariable-pattern,pattern,pattern-not,patterns,references,severity",False,True,True,False,False,True,False,"$EXPR,$FREE,$PTR","$FREE,$PTR","[{""$EXPR"": 1, ""$FREE"": 3, ""$PTR"": 5}]",3,True,True,True,False,False,False,"C1,C2,C3","no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__format-string-bugs.yaml,.,0,0,raptor-format-string-bugs,A4,Negation / Filtering,"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-not,patterns,references,severity",False,True,False,False,False,False,False,"$ARG1,$ARG2,$FUN",,"[{""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FUN"": 1}, {""$ARG1"": 1, ""$ARG2"": 1, ""$FUN"": 1}]",53,True,True,True,False,False,False,"C1,C2,C3","no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-order-setuid-setgid-etc.yaml,.,0,0,raptor-incorrect-order-setuid-setgid-etc,A6,Containment (exclusive),"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-not,pattern-not-inside,patterns,references,severity",True,False,False,False,False,False,False,,,[],12,True,False,True,False,False,False,"C1,C3","no_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-unsigned-comparison.yaml,.,0,0,raptor-incorrect-unsigned-comparison,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",False,True,False,True,False,False,False,$UNSIGNED,,"[{""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}, {""$UNSIGNED"": 1}]",18,False,True,False,False,False,False,C2,"B3.5_redundant_metavariable,plain_metavar"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-use-of-free.yaml,.,0,0,raptor-incorrect-use-of-free,A5,Containment (inclusive),"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-inside,patterns,references,severity",False,True,True,False,False,False,False,"$ARR,$EXPR,$LEN,$PTR,$TYPE,$VAR","$ARR,$PTR,$VAR","[{""$LEN"": 1, ""$PTR"": 2, ""$TYPE"": 1}, {""$EXPR"": 1, ""$LEN"": 1, ""$PTR"": 2, ""$TYPE"": 1}, {""$ARR"": 2, ""$LEN"": 1, ""$PTR"": 2, ""$TYPE"": 1}, {""$ARR"": 2, ""$EXPR"": 1, ""$LEN"": 1, ""$PTR"": 2, ""$TYPE"": 1}, {""$TYPE"": 1, ""$VAR"": 2}, {""$EXPR"": 1, ""$TYPE"": 1, ""$VAR"": 2}, {""$LEN"": 1, ""$TYPE"": 1, ""$VAR"": 2}, {""$EXPR"": 1, ""$LEN"": 1, ""$TYPE"": 1, ""$VAR"": 2}, {""$TYPE"": 1, ""$VAR"": 2}, {""$EXPR"": 1, ""$TYPE"": 1, ""$VAR"": 2}]",12,False,True,True,False,False,False,"C2,C3","plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-use-of-memset.yaml,.,0,0,raptor-incorrect-use-of-memset,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",False,True,False,True,False,False,False,"$C,$N,$S",,"[{""$C"": 1, ""$S"": 1}, {""$C"": 1, ""$S"": 1}, {""$N"": 1, ""$S"": 1}, {""$C"": 1, ""$S"": 1}, {""$C"": 1, ""$S"": 1}, {""$N"": 1, ""$S"": 1}]",6,False,True,True,False,False,False,"C2,C3","B3.5_redundant_metavariable,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-use-of-sizeof.yaml,.,0,0,raptor-incorrect-use-of-sizeof,A5,Containment (inclusive),"author,confidence,id,languages,message,metadata,pattern,pattern-either,pattern-inside,pattern-not,patterns,references,severity",False,True,True,False,False,False,False,"$EXPR,$PTR,$TYPE",$PTR,"[{""$PTR"": 1}, {""$PTR"": 1}, {""$PTR"": 1}, {""$PTR"": 1}, {""$PTR"": 2, ""$TYPE"": 1}, {""$EXPR"": 1, ""$PTR"": 2, ""$TYPE"": 1}]",8,True,True,True,False,False,False,"C1,C2,C3","no_metavar,plain_metavar,unnamed_ellipsis"
/home/moscovin/Documents/eboss/semgrep-rules-aggregate/collected/0xdea__c__incorrect-use-of-sprintf-snprintf.yaml,.,0,0,raptor-incorrect-use-of-sprintf-snprintf,A2,Single or multiple positive pattern(s),"author,confidence,id,languages,message,metadata,pattern,pattern-either,references,severity",False,True,True,False,False,False,False,"$DST,$N",$DST,"[{""$DST"": 2}, {""$DST"": 2, ""$N"": 1}]",2,False,True,True,False,False,False,"C2,C3","plain_metavar,unnamed_ellipsis"
